Žodis                 | Kiek kartų | Eilutės 
----------------------|------------|---------
saugumo               | 2           | 69, 73
prieš                | 2           | 68, 73
vis                   | 2           | 67, 79
programavimo          | 2           | 61, 80
windows               | 2           | 56, 56
sistema               | 2           | 54, 55
linux                 | 4           | 54, 55, 56, 56
programoms            | 2           | 53, 60
kompiuterio           | 2           | 53, 57
veikia                | 2           | 51, 55
kuris                 | 2           | 51, 58
gerai                 | 2           | 50, 50
su                    | 7           | 17, 35, 43, 51, 55, 72, 80
intelekto             | 2           | 10, 78
mokytis               | 2           | 20, 31
tapo                  | 3           | 16, 25, 80
daugelis              | 6           | 17, 23, 27, 33, 47, 55
metais                | 4           | 2, 5, 12, 68
padeda                | 3           | 13, 32, 73
iš                   | 2           | 6, 71
dažniausiai          | 2           | 12, 42
dalykų               | 2           | 11, 20
kitų                 | 2           | 11, 47
daugelio              | 2           | 11, 71
vienu                 | 2           | 16, 25
programos             | 2           | 4, 79
pereina               | 2           | 34, 43
sql                   | 4           | 13, 38, 43, 70
svarbu                | 3           | 21, 31, 62
rašyti               | 2           | 19, 50
kurti                 | 2           | 64, 77
greitai               | 2           | 20, 58
kodą                 | 2           | 19, 51
bazės                | 2           | 38, 40
apima                 | 2           | 4, 9
per                   | 2           | 3, 60
įmonių              | 2           | 17, 24
technologijų         | 6           | 5, 20, 23, 24, 25, 28
labai                 | 3           | 20, 51, 62
pasaulyje             | 4           | 16, 33, 55, 67
programuotojų        | 2           | 17, 54
lietuvos              | 3           | 6, 23, 28
studentų             | 2           | 6, 33
yra                   | 13          | 1, 8, 38, 41, 46, 47, 49, 57, 61, 62, 62, 63, 71
dirbti                | 2           | 17, 19
tik                   | 3           | 19, 31, 71
pagrindas             | 2           | 46, 62
ir                    | 42          | 1, 3, 3, 4, 6, 8, 10, 11, 12, 13, 18, 19, 24, 24, 28, 31, 34, 35, 39, 40, 41, 44, 46, 47, 49, 50, 53, 55, 58, 61, 62, 65, 65, 69, 70, 71, 73, 76, 77, 78, 80, 81
visoje                | 2           | 2, 25
kiekvienais           | 2           | 5, 68
kodo                  | 2           | 42, 72
lietuvoje             | 2           | 2, 78
studentai             | 3           | 10, 42, 79
studijų              | 2           | 3, 12
ne                    | 2           | 19, 31
įrankiais            | 2           | 18, 56
pradedant             | 3           | 4, 9, 40
baigiant              | 3           | 4, 10, 40
tarp                  | 3           | 9, 54, 65
užsienio             | 2           | 6, 27
į                    | 3           | 3, 28, 28
python                | 2           | 12, 80
informatikos          | 2           | 8, 9
bei                   | 5           | 2, 5, 19, 27, 29
vėliau               | 2           | 12, 43
duomenų              | 9           | 11, 38, 39, 40, 42, 46, 49, 51, 80
projektai             | 2           | 32, 34
aktyviai              | 2           | 28, 78
bendrauti             | 2           | 35, 60
bet                   | 2           | 19, 31
dirbtinio             | 2           | 10, 78
universitetas         | 3           | 1, 2, 5
naujų                | 2           | 6, 20
dėl                  | 3           | 54, 65, 81
suprasti              | 3           | 32, 62, 77
žinios               | 2           | 32, 48
spręsti              | 2           | 19, 36
prie                  | 2           | 34, 43
sričių              | 2           | 4, 9
sudėtingesnių       | 2           | 34, 43
ypač                 | 2           | 35, 54
mokslo                | 2           | 3, 46
programavimas         | 2           | 16, 60
nuo                   | 2           | 21, 33
programų             | 2           | 38, 64
kalba                 | 2           | 38, 80
leidžia              | 5           | 38, 53, 56, 58, 60
algoritmai            | 4           | 46, 47, 47, 47
savo                  | 3           | 24, 54, 65
mokslais              | 2           | 4, 5
efektyviai            | 2           | 39, 58
turi                  | 2           | 18, 69
sistemos              | 3           | 42, 53, 72
vienas                | 2           | 1, 8
struktūros           | 2           | 46, 49
